,size,times
1828,102,20553.0
1831,98,12005.0
1832,102,20343.0
1833,659,13678.0
1834,716,5179.0
1837,95,14020.0
1838,102,19991.0
1839,103,20110.0
1840,103,20430.0
1843,102,20187.0
1844,95,20120.0
1845,99,19743.0
1846,103,17626.0
1850,99,16636.0
1851,697,15135.0
1852,101,4265.0
1853,98,20004.0
1854,103,20077.0
1856,66,491.0
1860,108,12889.0
1861,104,19887.0
1862,102,20149.0
1865,105,776.0
1866,100,18827.0
1867,102,19531.0
1868,103,20297.0
1871,102,8921.0
1872,102,16702.0
1873,1319,3628.0
1874,1379,16576.0
1878,106,5389.0
1879,101,21660.0
1880,100,18610.0
1881,102,19840.0
1882,107,20090.0
1883,97,20949.0
1884,111,18795.0
1885,99,21800.0
1886,101,18991.0
1887,104,20214.0
1888,337,11919.0
1889,93,7363.0
1890,99,19964.0
1891,96,19898.0
1892,105,20760.0
1893,98,21941.0
1894,93,17757.0
1895,428,9238.0
1896,96,10647.0
1897,97,19820.0
1898,98,20571.0
1901,66,522.0
1909,102,10750.0
1910,96,19927.0
1911,94,19239.0
1912,355,1689.0
1917,81,438.0
1922,80,1597.0
1924,66,525.0
1925,70,270.0
1926,718,1157.0
1927,97,20184.0
1928,99,20203.0
1931,100,18494.0
1932,95,19986.0
1933,792,4494.0
1934,101,14254.0
1937,98,10339.0
1938,94,20043.0
1939,98,20815.0
1942,102,7768.0
1943,103,18258.0
1944,1362,7050.0
1945,1373,2036.0
1946,315,89.0
1947,99,11244.0
1950,107,8291.0
1951,95,19946.0
1953,99,12938.0
1956,95,2518.0
1957,102,20296.0
1958,1362,5103.0
1959,102,15024.0
1960,100,19845.0
1964,101,10659.0
1965,66,18270.0
1966,100,2185.0
1967,99,17704.0
1971,96,8256.0
1972,96,4347.0
1973,1425,15384.0
1974,97,19515.0
1977,99,3967.0
1978,717,6723.0
1979,100,15464.0
1980,100,18319.0
1981,102,19271.0
1982,99,19902.0
1983,99,20281.0
1984,95,20280.0
1985,480,9514.0
1986,850,11025.0
1987,100,20435.0
1988,102,19088.0
1989,101,20281.0
1990,399,8817.0
1991,110,1563.0
1992,100,11724.0
1993,105,19749.0
1994,97,17665.0
1995,99,19655.0
